

2020-09-01 14:45:18,313 Me queda: 0.36199999999999477
2020-09-01 14:46:08,112 PRO.MC 17.0
2020-09-01 14:46:09,645 FACE.MC 6.76
2020-09-01 14:46:10,205 GRN.MC 12.8
2020-09-01 14:46:10,291 XBRK.MC 3.5
2020-09-01 14:46:11,737 XELTO.MC 5.7
2020-09-01 14:46:12,322 BAIN.MC 2.9
2020-09-01 14:46:13,986 ADL.MC 0.83
2020-09-01 14:46:14,953 NTX.MC 2.46
2020-09-01 14:46:16,993 BIO.MC 1.806
2020-09-01 14:46:18,574 BKY.MC 0.647
2020-09-01 14:47:08,354 PRO.MC 17.0
2020-09-01 14:47:09,941 FACE.MC 6.76
2020-09-01 14:47:10,430 XBRK.MC 3.5
2020-09-01 14:47:10,458 GRN.MC 12.8
2020-09-01 14:47:11,938 XELTO.MC 5.7
2020-09-01 14:47:12,462 BAIN.MC 2.9
2020-09-01 14:47:14,147 ADL.MC 0.83
2020-09-01 14:47:15,238 NTX.MC 2.46
2020-09-01 14:47:17,237 BIO.MC 1.806
2020-09-01 14:47:18,861 BKY.MC 0.649
2020-09-01 14:48:08,522 PRO.MC 17.0
2020-09-01 14:48:10,148 FACE.MC 6.76
2020-09-01 14:48:10,568 XBRK.MC 3.5
2020-09-01 14:48:10,636 GRN.MC 12.8
2020-09-01 14:48:12,099 XELTO.MC 5.7
2020-09-01 14:48:12,598 BAIN.MC 2.9
2020-09-01 14:48:14,387 ADL.MC 0.83
2020-09-01 14:48:15,417 NTX.MC 2.46
2020-09-01 14:48:17,449 BIO.MC 1.806
2020-09-01 14:48:19,126 BKY.MC 0.649
2020-09-01 14:49:08,740 PRO.MC 17.0
2020-09-01 14:49:10,354 FACE.MC 6.76
2020-09-01 14:49:10,694 XBRK.MC 3.5
2020-09-01 14:49:10,802 GRN.MC 12.8
2020-09-01 14:49:12,256 XELTO.MC 5.7
2020-09-01 14:49:12,745 BAIN.MC 2.9
2020-09-01 14:49:14,569 ADL.MC 0.83
2020-09-01 14:49:15,584 NTX.MC 2.46
2020-09-01 14:49:17,691 BIO.MC 1.808
2020-09-01 14:49:19,407 BKY.MC 0.643
2020-09-01 14:50:08,912 PRO.MC 17.0
2020-09-01 14:50:10,583 FACE.MC 6.76
2020-09-01 14:50:10,840 XBRK.MC 3.5
2020-09-01 14:50:10,992 GRN.MC 12.8
2020-09-01 14:50:12,425 XELTO.MC 5.7
2020-09-01 14:50:12,876 BAIN.MC 2.9
2020-09-01 14:50:14,738 ADL.MC 0.83
2020-09-01 14:50:15,757 NTX.MC 2.46
2020-09-01 14:50:17,942 BIO.MC 1.808
2020-09-01 14:50:19,682 BKY.MC 0.642
2020-09-01 14:51:22,862 PRO.MC 17.0
2020-09-01 14:51:23,928 FACE.MC 6.76
2020-09-01 14:51:24,929 GRN.MC 12.8
2020-09-01 14:51:25,836 XBRK.MC 3.5
2020-09-01 14:51:26,860 XELTO.MC 5.7
2020-09-01 14:51:27,831 BAIN.MC 2.9
2020-09-01 14:51:28,872 NTX.MC 2.46
2020-09-01 14:51:29,933 BIO.MC 1.792
2020-09-01 14:51:30,953 BKY.MC 0.643
2020-09-01 14:51:31,915 OHL.MC 0.67
2020-09-01 14:52:23,069 PRO.MC 17.0
2020-09-01 14:52:24,136 FACE.MC 6.74
2020-09-01 14:52:24,138 CompraFACE.MC 6.74
2020-09-01 14:52:24,140 Me queda: 5.640000000000001
2020-09-01 14:52:25,201 GRN.MC 12.8
2020-09-01 14:52:25,965 XBRK.MC 3.5
2020-09-01 14:52:27,021 XELTO.MC 5.7
2020-09-01 14:52:27,961 BAIN.MC 2.9
2020-09-01 14:52:29,037 NTX.MC 2.46
2020-09-01 14:52:30,161 BIO.MC 1.792
2020-09-01 14:52:31,244 BKY.MC 0.645
2020-09-01 14:52:32,132 OHL.MC 0.67
2020-09-01 14:53:23,241 PRO.MC 17.0
2020-09-01 14:53:24,358 FACE.MC 6.74
